,Waktu,Pipi
418,04:47.6,301
419,04:47.6,300
420,04:47.6,298
421,04:47.6,293
422,04:47.6,290
423,04:47.6,300
424,04:47.6,307
425,04:47.6,305
426,04:47.6,303
427,04:47.6,303
428,04:47.6,305
429,04:47.6,305
430,04:47.6,303
431,04:47.7,298
432,04:47.7,294
433,04:47.7,296
434,04:47.7,299
435,04:47.7,297
436,04:47.7,297
437,04:47.7,300
438,04:47.7,300
439,04:47.7,298
440,04:47.7,295
441,04:47.7,294
442,04:47.7,300
443,04:47.8,302
444,04:47.8,301
445,04:47.8,298
446,04:47.8,301
447,04:47.8,311
448,04:47.8,314
449,04:47.8,313
450,04:47.8,310
451,04:47.8,305
452,04:47.8,306
453,04:47.8,305
454,04:47.8,306
455,04:47.8,309
456,04:47.9,310
457,04:47.9,307
458,04:47.9,304
459,04:47.9,299
460,04:47.9,307
461,04:47.9,315
462,04:47.9,312
463,04:47.9,312
464,04:47.9,316
465,04:47.9,322
466,04:47.9,324
467,04:47.9,323
468,04:47.9,321
469,04:48.0,317
470,04:48.0,316
471,04:48.0,315
472,04:48.0,311
473,04:48.0,311
474,04:48.0,312
475,04:48.0,310
476,04:48.0,307
477,04:48.0,302
478,04:48.0,302
479,04:48.0,312
480,04:48.0,313
481,04:48.0,309
482,04:48.1,308
483,04:48.1,307
484,04:48.1,310
485,04:48.1,311
486,04:48.1,309
487,04:48.1,304
488,04:48.1,301
489,04:48.1,303
490,04:48.1,302
491,04:48.1,300
492,04:48.1,302
493,04:48.1,305
494,04:48.1,302
495,04:48.2,297
496,04:48.2,295
497,04:48.2,302
498,04:48.2,307
499,04:48.2,307
500,04:48.2,304
501,04:48.2,303
502,04:48.2,310
503,04:48.2,320
504,04:48.2,324
505,04:48.2,325
506,04:48.2,322
507,04:48.2,319
508,04:48.3,318
509,04:48.3,313
510,04:48.3,312
511,04:48.3,313
512,04:48.3,314
513,04:48.3,315
514,04:48.3,311
515,04:48.3,311
516,04:48.3,321
517,04:48.3,321
518,04:48.3,320
519,04:48.3,317
520,04:48.3,317
521,04:48.3,323
522,04:48.3,331
523,04:48.4,332
524,04:48.4,330
525,04:48.4,326
526,04:48.4,330
527,04:48.4,326
528,04:48.4,325
529,04:48.4,326
530,04:48.4,322
531,04:48.4,319
532,04:48.4,315
533,04:48.4,311
534,04:48.4,315
535,04:48.4,323
536,04:48.5,322
537,04:48.5,318
538,04:48.5,318
539,04:48.5,320
540,04:48.5,322
541,04:48.5,324
542,04:48.5,319
543,04:48.5,315
544,04:48.5,314
545,04:48.5,316
546,04:48.5,313
547,04:48.5,314
548,04:48.5,316
549,04:48.5,315
550,04:48.6,314
551,04:48.6,312
552,04:48.6,310
553,04:48.6,317
554,04:48.6,320
555,04:48.6,315
556,04:48.6,314
557,04:48.6,314
558,04:48.6,319
559,04:48.6,321
560,04:48.6,319
561,04:48.6,315
562,04:48.6,309
563,04:48.6,313
564,04:48.7,313
565,04:48.7,311
566,04:48.7,311
567,04:48.7,313
568,04:48.7,310
569,04:48.7,310
570,04:48.7,306
571,04:48.7,308
572,04:48.7,312
573,04:48.7,313
574,04:48.7,310
575,04:48.7,309
576,04:48.7,310
577,04:48.8,312
578,04:48.8,312
579,04:48.8,309
580,04:48.8,306
581,04:48.8,305
582,04:48.8,304
583,04:48.8,300
584,04:48.8,302
585,04:48.8,300
586,04:48.8,297
587,04:48.8,294
588,04:48.8,290
589,04:48.8,287
590,04:48.8,299
591,04:48.9,303
592,04:48.9,300
593,04:48.9,297
594,04:48.9,297
595,04:48.9,302
596,04:48.9,301
597,04:48.9,297
598,04:48.9,293
599,04:48.9,289
600,04:48.9,292
601,04:48.9,291
602,04:48.9,294
603,04:48.9,301
604,04:49.0,300
605,04:49.0,298
606,04:49.0,299
607,04:49.0,296
608,04:49.0,298
609,04:49.0,300
610,04:49.0,297
611,04:49.0,295
612,04:49.0,297
613,04:49.0,299
614,04:49.0,302
615,04:49.0,301
616,04:49.0,297
617,04:49.1,293
618,04:49.1,290
619,04:49.1,289
620,04:49.1,284
621,04:49.1,288
622,04:49.1,291
623,04:49.1,289
624,04:49.1,289
625,04:49.1,288
626,04:49.1,285
627,04:49.1,292
628,04:49.1,297
629,04:49.1,301
630,04:49.1,299
631,04:49.2,296
632,04:49.2,301
633,04:49.2,303
634,04:49.2,300
635,04:49.2,296
636,04:49.2,292
637,04:49.2,296
638,04:49.2,299
639,04:49.2,297
640,04:49.2,301
641,04:49.2,302
642,04:49.2,299
643,04:49.2,296
644,04:49.2,293
645,04:49.3,295
646,04:49.3,306
647,04:49.3,309
648,04:49.3,306
649,04:49.3,308
650,04:49.3,315
651,04:49.3,321
652,04:49.3,322
653,04:49.3,317
654,04:49.3,316
655,04:49.3,315
656,04:49.3,314
657,04:49.3,309
658,04:49.4,308
659,04:49.4,310
660,04:49.4,306
661,04:49.4,305
662,04:49.4,305
663,04:49.4,302
664,04:49.4,313
665,04:49.4,318
666,04:49.4,316
667,04:49.4,313
668,04:49.4,316
669,04:49.4,322
670,04:49.4,322
671,04:49.5,320
672,04:49.5,316
673,04:49.5,311
674,04:49.5,313
675,04:49.5,315
676,04:49.5,312
677,04:49.5,312
678,04:49.5,312
679,04:49.5,308
680,04:49.5,305
681,04:49.5,306
682,04:49.5,311
683,04:49.5,318
684,04:49.6,319
685,04:49.6,314
686,04:49.6,316
687,04:49.6,318
688,04:49.6,323
689,04:49.6,322
690,04:49.6,317
691,04:49.6,311
692,04:49.6,307
693,04:49.6,312
694,04:49.6,312
695,04:49.6,314
696,04:49.6,316
697,04:49.6,314
698,04:49.6,312
699,04:49.7,308
700,04:49.7,304
701,04:49.7,309
702,04:49.7,313
703,04:49.7,313
704,04:49.7,309
705,04:49.7,311
706,04:49.7,317
707,04:49.7,318
708,04:49.7,314
709,04:49.7,309
710,04:49.7,304
711,04:49.7,306
712,04:49.8,308
713,04:49.8,306
714,04:49.8,306
715,04:49.8,306
716,04:49.8,306
717,04:49.8,303
718,04:49.8,299
719,04:49.8,300
720,04:49.8,309
721,04:49.8,311
722,04:49.8,309
723,04:49.8,308
724,04:49.8,313
725,04:49.8,318
726,04:49.9,315
727,04:49.9,309
728,04:49.9,305
729,04:49.9,305
730,04:49.9,313
731,04:49.9,310
732,04:49.9,308
733,04:49.9,308
734,04:49.9,308
735,04:49.9,304
736,04:49.9,298
737,04:49.9,294
738,04:49.9,302
739,04:50.0,311
740,04:50.0,310
741,04:50.0,306
742,04:50.0,304
743,04:50.0,309
744,04:50.0,312
745,04:50.0,308
746,04:50.0,306
747,04:50.0,302
748,04:50.0,302
749,04:50.0,306
750,04:50.0,303
751,04:50.0,309
752,04:50.0,315
753,04:50.1,313
754,04:50.1,311
755,04:50.1,315
756,04:50.1,315
757,04:50.1,329
758,04:50.1,332
759,04:50.1,331
760,04:50.1,327
761,04:50.1,332
762,04:50.1,344
763,04:50.1,348
764,04:50.1,353
765,04:50.1,350
766,04:50.2,345
767,04:50.2,346
768,04:50.2,343
769,04:50.2,341
770,04:50.2,342
771,04:50.2,342
772,04:50.2,341
773,04:50.2,339
774,04:50.2,334
775,04:50.2,343
776,04:50.2,351
777,04:50.2,349
778,04:50.2,344
779,04:50.2,344
780,04:50.3,347
781,04:50.3,352
782,04:50.3,353
783,04:50.3,352
784,04:50.3,347
785,04:50.3,346
786,04:50.3,346
787,04:50.3,345
788,04:50.3,345
789,04:50.3,346
790,04:50.3,344
791,04:50.3,341
792,04:50.3,336
793,04:50.3,335
794,04:50.3,345
795,04:50.4,349
796,04:50.4,343
797,04:50.4,341
798,04:50.4,339
799,04:50.4,345
800,04:50.4,346
801,04:50.4,342
802,04:50.4,337
803,04:50.4,331
804,04:50.4,336
805,04:50.4,338
806,04:50.4,335
807,04:50.4,334
808,04:50.4,336
809,04:50.5,337
810,04:50.5,333
811,04:50.5,327
812,04:50.5,329
813,04:50.5,338
814,04:50.5,338
815,04:50.5,335
816,04:50.5,334
817,04:50.5,336
818,04:50.5,340
819,04:50.5,339
820,04:50.5,336
821,04:50.5,333
822,04:50.5,331
823,04:50.6,333
824,04:50.6,329
825,04:50.6,329
826,04:50.6,325
827,04:50.6,322
828,04:50.6,321
829,04:50.6,318
830,04:50.6,316
831,04:50.6,326
832,04:50.6,327
833,04:50.6,324
834,04:50.6,321
835,04:50.6,323
836,04:50.6,325
837,04:50.7,324
838,04:50.7,323
839,04:50.7,322
840,04:50.7,318
841,04:50.7,319
842,04:50.7,320
843,04:50.7,318
844,04:50.7,321
845,04:50.7,323
846,04:50.7,326
847,04:50.7,324
848,04:50.7,319
849,04:50.7,318
850,04:50.8,323
851,04:50.8,321
852,04:50.8,318
853,04:50.8,318
854,04:50.8,322
855,04:50.8,323
856,04:50.8,320
857,04:50.8,317
858,04:50.8,313
859,04:50.8,313
860,04:50.8,318
861,04:50.8,317
862,04:50.8,314
863,04:50.8,315
864,04:50.9,317
865,04:50.9,316
866,04:50.9,312
867,04:50.9,307
868,04:50.9,317
869,04:50.9,322
870,04:50.9,323
871,04:50.9,320
872,04:50.9,323
873,04:50.9,328
874,04:50.9,331
875,04:50.9,330
876,04:50.9,326
877,04:51.0,322
878,04:51.0,323
879,04:51.0,326
880,04:51.0,324
881,04:51.0,327
882,04:51.0,322
883,04:51.0,321
884,04:51.0,320
885,04:51.0,315
886,04:51.0,316
887,04:51.0,325
888,04:51.0,326
889,04:51.0,322
890,04:51.0,320
891,04:51.1,320
892,04:51.1,321
893,04:51.1,320
894,04:51.1,315
895,04:51.1,310
896,04:51.1,312
897,04:51.1,319
898,04:51.1,319
899,04:51.1,318
900,04:51.1,318
901,04:51.1,318
902,04:51.1,316
903,04:51.2,310
904,04:51.2,305
905,04:51.2,310
906,04:51.2,317
907,04:51.2,317
908,04:51.2,312
909,04:51.2,311
910,04:51.2,318
911,04:51.2,320
