,Waktu,Pipi,,,,
332,28:13.5,145,,,,
333,28:13.5,147,,,,
334,28:13.5,148,,,,
335,28:13.5,148,,,,
336,28:13.5,147,,,,
337,28:13.5,145,,,,
338,28:13.5,143,,,,
339,28:13.5,145,,,,
340,28:13.5,146,,,,
341,28:13.5,146,,,,
342,28:13.5,147,,,,
343,28:13.5,148,,,,
344,28:13.5,147,,,,
345,28:13.5,145,,,,
346,28:13.5,144,,,,
347,28:13.5,144,,,,
348,28:13.5,145,,,,
349,28:13.5,143,,,,
350,28:13.5,143,,,,
351,28:13.5,145,,,,
352,28:13.5,146,,,,
353,28:13.5,146,,,,
354,28:13.5,145,,,,
355,28:13.6,144,,,,
356,28:13.6,143,,,,
357,28:13.6,143,,,,
358,28:13.6,144,,,,
359,28:13.6,142,,,,
360,28:13.6,144,,,,
361,28:13.6,145,,,,
362,28:13.6,145,,,,
363,28:13.6,145,,,,
364,28:13.6,143,,,,
365,28:13.6,142,,,,
366,28:13.6,144,,,,
367,28:13.6,144,,,,
368,28:13.6,143,,,,
369,28:13.6,144,,,,
370,28:13.6,146,,,,
371,28:13.6,149,,,,
372,28:13.6,148,,,,
373,28:13.6,146,,,,
374,28:13.6,144,,,,
375,28:13.6,142,,,,
376,28:13.6,143,,,,
377,28:13.6,143,,,,
378,28:13.6,143,,,,
379,28:13.6,145,,,,
380,28:13.6,145,,,,
381,28:13.7,143,,,,
382,28:13.7,142,,,,
383,28:13.7,140,,,,
384,28:13.7,141,,,,
385,28:13.7,145,,,,
386,28:13.7,144,,,,
387,28:13.7,144,,,,
388,28:13.7,145,,,,
389,28:13.7,148,,,,
390,28:13.7,148,,,,
391,28:13.7,147,,,,
392,28:13.7,146,,,,
393,28:13.7,144,,,,
394,28:13.7,143,,,,
395,28:13.7,145,,,,
396,28:13.7,144,,,,
397,28:13.7,145,,,,
398,28:13.7,146,,,,
399,28:13.7,146,,,,
400,28:13.7,145,,,,
401,28:13.7,143,,,,
402,28:13.7,141,,,,
403,28:13.7,145,,,,
404,28:13.7,147,,,,
405,28:13.7,146,,,,
406,28:13.7,146,,,,
407,28:13.7,148,,,,
408,28:13.7,150,,,,
409,28:13.8,150,,,,
410,28:13.8,148,,,,
411,28:13.8,146,,,,
412,28:13.8,144,,,,
413,28:13.8,145,,,,
