,Waktu,pipi,alis,Pipi,Alis
173,21:28.2,54,250,0.263671875,1.220703125
174,21:28.2,55,249,0.268554688,1.215820313
175,21:28.2,55,251,0.268554688,1.225585938
176,21:28.2,55,250,0.268554688,1.220703125
177,21:28.2,54,247,0.263671875,1.206054688
178,21:28.2,53,245,0.258789063,1.196289063
179,21:28.2,55,244,0.268554688,1.19140625
180,21:28.2,54,244,0.263671875,1.19140625
181,21:28.3,54,250,0.263671875,1.220703125
182,21:28.3,55,259,0.268554688,1.264648438
183,21:28.3,54,266,0.263671875,1.298828125
184,21:28.3,54,268,0.263671875,1.30859375
185,21:28.3,54,263,0.263671875,1.284179688
186,21:28.3,55,259,0.268554688,1.264648438
187,21:28.3,54,254,0.263671875,1.240234375
188,21:28.3,54,251,0.263671875,1.225585938
189,21:28.3,54,250,0.263671875,1.220703125
190,21:28.3,55,251,0.268554688,1.225585938
191,21:28.3,54,248,0.263671875,1.2109375
192,21:28.3,55,246,0.268554688,1.201171875
193,21:28.3,55,248,0.268554688,1.2109375
194,21:28.3,55,255,0.268554688,1.245117188
195,21:28.3,56,264,0.2734375,1.2890625
196,21:28.3,56,270,0.2734375,1.318359375
197,21:28.3,56,269,0.2734375,1.313476563
198,21:28.3,55,265,0.268554688,1.293945313
199,21:28.3,55,260,0.268554688,1.26953125
200,21:28.3,56,260,0.2734375,1.26953125
201,21:28.3,55,259,0.268554688,1.264648438
202,21:28.3,55,258,0.268554688,1.259765625
203,21:28.3,55,258,0.268554688,1.259765625
204,21:28.3,55,262,0.268554688,1.279296875
205,21:28.3,54,270,0.263671875,1.318359375
206,21:28.3,55,278,0.268554688,1.357421875
207,21:28.3,55,289,0.268554688,1.411132813
208,21:28.3,55,296,0.268554688,1.4453125
209,21:28.3,54,299,0.263671875,1.459960938
210,21:28.4,53,306,0.258789063,1.494140625
211,21:28.4,55,315,0.268554688,1.538085938
212,21:28.4,54,314,0.263671875,1.533203125
213,21:28.4,54,313,0.263671875,1.528320313
214,21:28.4,54,314,0.263671875,1.533203125
215,21:28.4,53,312,0.258789063,1.5234375
216,21:28.4,53,312,0.258789063,1.5234375
217,21:28.4,55,305,0.268554688,1.489257813
218,21:28.4,54,305,0.263671875,1.489257813
219,21:28.4,54,307,0.263671875,1.499023438
220,21:28.4,53,310,0.258789063,1.513671875
221,21:28.4,54,315,0.263671875,1.538085938
222,21:28.4,55,317,0.268554688,1.547851563
