,pipi
499,404
500,392
501,396
502,389
503,385
504,380
505,373
506,367
507,363
508,362
509,356
510,355
511,349
512,343
513,344
514,334
515,327
516,324
517,319
518,315
519,310
520,310
521,305
522,304
523,298
524,296
525,298
526,289
527,288
528,291
529,283
530,284
531,278
532,278
533,276
534,279
535,274
536,272
537,273
538,267
539,268
540,269
541,260
542,270
543,268
544,270
545,270
546,277
547,274
548,279
549,290
550,289
551,292
552,301
553,295
554,310
555,310
556,312
557,314
558,321
559,316
560,322
561,327
562,322
563,319
564,317
565,308
566,315
567,315
568,317
569,319
570,317
571,311
572,306
573,302
574,294
575,294
576,286
577,279
578,283
579,279
580,275
581,273
582,271
583,272
584,265
585,266
586,262
587,264
588,258
589,254
590,259
591,254
592,256
593,259
594,253
595,256
596,250
597,250
598,248
599,252
600,249
601,249
602,249
603,244
604,244
605,247
606,245
607,251
608,250
609,255
610,258
611,264
612,260
613,265
614,272
615,270
616,273
617,277
618,271
619,283
620,285
621,287
622,288
623,293
624,289
625,294
626,302
627,300
628,300
629,304
630,296
631,308
632,307
633,306
634,306
635,307
636,301
637,297
638,304
639,301
640,303
641,303
642,295
643,301
644,301
645,302
646,303
647,304
648,300
649,299
650,301
651,299
652,299
653,297
654,293
655,302
656,298
657,298
658,301
659,300
660,298
661,294
662,297
663,294
664,297
665,293
666,287
667,296
668,288
669,290
670,294
671,296
672,293
673,289
674,290
675,288
676,289
677,281
678,278
679,285
680,281
681,278
682,286
683,280
684,287
685,286
686,290
687,288
688,293
689,282
690,284
691,288
692,287
693,291
694,299
695,292
696,298
697,298
698,301
699,299
700,306
701,300
702,299
703,303
704,302
705,302
706,304
707,298
708,306
709,304
710,305
711,305
712,307
713,300
714,303
715,308
716,304
717,303
718,303
719,296
720,307
721,304
722,302
723,301
724,298
725,290
726,291
727,292
728,290
729,291
730,287
731,281
732,286
733,286
734,289
735,291
736,289
737,290
738,289
739,290
740,287
741,291
742,284
743,283
744,289
745,285
746,287
747,290
748,283
749,287
750,289
751,293
752,293
753,299
754,290
755,290
756,296
757,294
758,293
759,295
760,286
761,295
762,292
763,291
764,289
765,297
766,291
767,292
768,296
769,295
770,298
771,302
772,293
773,297
774,299
775,302
776,305
777,311
778,305
779,309
780,317
781,314
782,315
783,314
784,307
785,315
786,313
787,317
788,317
789,319
790,312
791,315
792,320
793,320
794,320
795,319
796,321
797,332
798,333
799,334
800,339
801,333
802,326
803,321
804,324
805,322
806,324
807,318
808,314
809,320
810,321
811,318
